start_line_1,stop_line_1,start_line_2,stop_line_2,start_line_3,stop_line_3,start_line_4,stop_line_4,start_line_5,stop_line_5,start_line_6,stop_line_6,start_line_7,stop_line_7,start_line_8,stop_line_8,estimation_surface,digit
1,5,1,5,1,6,1,6,1,6,1,6,2,5,2,5,34,0
2,4,1,5,1,6,1,6,1,6,1,6,2,6,2,5,33,0
2,5,1,6,4,5,2,6,1,6,1,4,2,4,2,3,24,7
3,5,2,6,1,6,1,6,1,6,4,5,3,4,3,5,25,4
2,4,2,3,1,3,1,5,1,6,2,6,2,6,2,5,25,6
2,5,1,5,1,5,1,5,4,5,3,5,2,7,2,7,28,2
2,6,2,6,2,6,1,6,1,6,4,5,3,5,2,4,27,5
2,6,1,6,1,4,1,5,4,5,4,5,2,5,2,4,23,5
2,6,2,6,1,6,1,6,1,6,1,6,1,5,2,4,34,0
2,5,1,5,1,5,1,4,1,6,2,6,2,6,2,5,30,8
2,7,2,7,4,6,1,6,1,4,3,4,2,3,2,3,23,7
3,6,3,6,3,5,1,5,1,5,1,5,3,5,3,6,25,1
3,7,2,7,1,6,1,6,1,5,4,5,3,5,3,5,28,9
2,5,2,6,1,4,1,5,1,5,4,5,2,5,2,4,24,5
2,5,1,5,1,5,2,5,1,5,2,6,2,6,2,6,30,3
1,4,1,5,1,6,1,6,1,6,1,6,2,5,2,4,32,0
3,5,2,6,2,5,1,6,2,6,3,5,3,4,3,4,22,4
2,6,2,6,3,6,2,6,3,5,3,4,2,4,2,3,21,7
2,6,1,6,1,5,1,5,2,6,2,6,2,6,2,5,32,8
3,6,2,6,1,6,1,6,1,6,4,5,4,5,4,5,25,4
2,6,2,6,5,6,2,6,2,6,2,5,2,4,2,4,24,7
2,6,1,6,1,6,1,5,2,6,2,6,2,5,2,5,32,8
2,6,2,4,1,2,1,6,1,6,4,6,2,5,2,4,24,5
2,6,1,6,1,5,1,6,5,6,4,6,4,5,3,5,24,9
2,4,2,4,2,4,2,4,2,4,3,5,2,7,2,7,22,1
2,4,1,5,2,5,4,5,3,5,3,5,2,7,2,7,24,2
2,4,2,5,1,5,1,6,1,6,1,6,2,6,2,5,31,0
3,4,2,4,2,3,1,5,1,6,2,6,2,6,2,6,25,6
4,5,4,5,3,5,1,5,1,5,4,5,4,5,4,6,16,1
2,6,1,6,1,6,1,5,1,6,1,6,1,6,2,5,36,8
2,5,1,5,4,5,2,6,2,6,2,4,2,3,2,3,20,7
2,4,1,5,1,6,1,6,1,6,1,6,1,6,2,5,34,0
2,6,2,6,3,6,2,6,2,6,3,5,2,4,2,4,25,7
2,4,1,3,1,3,1,2,1,6,1,6,2,6,2,6,25,6
3,6,2,7,1,6,1,6,1,6,2,5,4,5,3,5,29,9
4,6,3,5,1,5,1,5,1,5,3,5,4,5,4,6,21,1
2,6,2,7,1,6,1,6,1,4,3,4,2,4,2,4,27,9
2,5,2,5,3,4,2,6,2,6,2,6,1,6,2,5,27,3
3,7,2,7,2,7,1,6,2,6,4,5,3,4,3,4,26,9
3,7,2,7,1,6,1,6,2,6,4,6,4,5,4,5,27,4
2,5,1,5,2,6,2,6,3,6,5,6,2,6,2,5,26,9
2,5,1,5,1,5,1,5,4,5,3,4,2,6,2,7,26,2
